accomplish	完成
lorry	卡车
murder	谋杀
option	选择
attack	攻击
argue	争论
bleed	流血
campus	校园
escape	逃跑
harbor	港口
base	基础
muscle	肌肉
owner	主人
attract	吸引
calculate	计算
effect	效果
harm	伤害
loss	损失
avoid	避免
benefit	利益
cancel	取消
effort	努力
haste	匆忙
lower	降低
mystery	神秘
ban	禁止
balance	平衡
bet	打赌
capable	有能力的
either	两者之一
hate	憎恨
machine	机器
nation	国家
blame	责备
height	高度
magazine	杂志
natural	自然的
brain	大脑
embarrass	使尴尬
employ	雇佣
hesitate	犹豫
maintain	维持
necessary	必要的
burst	爆发
business	生意
challenge	挑战
energy	能量
hide	隐藏
manage	管理
neglect	忽视
civil	公民的
chance	机会
enforce	执行
hit	打击
command	命令
check	检查
enough	足够的
huge	巨大的
measure	测量
nevertheless	然而
confuse	使困惑
comment	评论
manner	方式
negotiate	谈判
coincidence	巧合
chat	聊天
enjoy	享受
enlarge	扩大
horrible	可怕的
marriage	婚姻
network	网络
conclude	推断
ocean	海洋
energy	能量
entertain	娱乐
control	控制
cost	花费
envelope	信封
immediately	立即
essential	必要的
earthquake	地震
economic	经济的
official	官方的
environment	环境
entertain	娱乐
hurry	匆忙
minor	次要的
occur	发生
embarrass	使尴尬
employ	雇佣
contain	包含
future	未来
gain	获得
general	一般的
discuss	讨论
eager	渴望的
earn	挣得
damage	损害
dare	敢于
fit	适合
follow	跟随
continue	继续
entire	全部的
confident	自信的
choice	选择
ensure	确保
humor	幽默
minister	部长
observe	观察
construct	建造
envelope	信封
contact	联系
entire	全部的
imagine	想象
mistake	错误
environment	环境
impact	影响
mobile	移动的
cheat	欺骗
especially	尤其
branch	分支
final	最终的
educate	教育
either	两者之一
flood	洪水
mix	混合
opinion	意见
culture	文化
dual	个人的
moral	道德的
optimistic	乐观的
finger	手指
bury	埋葬
center	中心
boring	无聊的
fail	失败
faith	信任
difficult	困难的
function	功能
except	除了
fierce	凶猛的
fill	填充
fluent	流利的
focus	集中
circle	圆圈
equal	平等的
escape	逃跑
honor	荣誉
establish	建立
estimate	估计
mark	标记
frighten	使害怕
generation	一代
concept	概念
finance	金融
goal	目标
gather	聚集
grammar	语法
greet	问候
gesture	手势
examine	检查
decide	决定
familiar	熟悉的
further	进一步
forbid	禁止
bother	打扰
celebrate	庆祝
network	网络
impact	影响
indeed	的确
hesitate	犹豫
hide	隐藏
fetch	取来
injure	受伤
instead	代替
inform	通知
hurry	匆忙
imagine	想象
lecture	讲座
option	选择
owner	主人
ability	能力
achieve	实现
muscle	肌肉
nervous	紧张的
immediately	立即
lack	缺乏
latest	最新的
infer	推断
keep	保持
kindness	善良
knowledge	知识
labor	劳动
lorry	卡车
island	岛屿
journey	旅行
loss	损失
lower	降低
machine	机器
magazine	杂志
justice	正义
honor	荣誉
horrible	可怕的
necessary	必要的
ocean	海洋
official	官方的
airport	机场
huge	巨大的
invent	发明
humor	幽默
mark	标记
minor	次要的
nevertheless	然而
observe	观察
absent	缺席的
accept	接受
height	高度
glance	瞥一眼
acquire	获得
occur	发生
declare	宣布
hit	打击
analyze	分析
anxious	焦虑的
awake	醒着的
natural	自然的
alive	活着的
opinion	意见
mystery	神秘
nation	国家
abroad	在国外
affect	影响
involve	涉及
nervous	紧张的
guarantee	保证
habit	习惯
agreement	协议
allow	允许
amount	数量
invite	邀请
bye	再见
haha	哈哈
pen	钢笔
